date,guests,adr,hotel
2015-07-01,2.0,94.95,Resort Hotel
2015-07-02,9.0,95.76166666666666,Resort Hotel
2015-07-03,24.0,111.91363636363636,Resort Hotel
2015-07-04,28.0,106.80499999999999,Resort Hotel
2015-07-05,62.0,111.56555555555555,Resort Hotel
2015-07-06,76.0,109.2988888888889,Resort Hotel
2015-07-07,75.0,108.36916666666667,Resort Hotel
2015-07-08,88.0,102.90651162790697,Resort Hotel
2015-07-09,88.0,89.76022222222223,Resort Hotel
2015-07-10,144.0,99.44117647058823,Resort Hotel
2015-07-11,205.0,106.53666666666666,Resort Hotel
2015-07-12,265.0,106.73822033898306,Resort Hotel
2015-07-13,304.0,102.95727941176472,Resort Hotel
2015-07-14,287.0,103.3882945736434,Resort Hotel
2015-07-15,266.0,102.78439024390244,Resort Hotel
2015-07-16,295.0,108.15007518796992,Resort Hotel
2015-07-17,353.0,109.51695652173913,Resort Hotel
2015-07-18,377.0,112.87,Resort Hotel
2015-07-19,376.0,119.43893491124261,Resort Hotel
2015-07-20,396.0,121.1157458563536,Resort Hotel
2015-07-21,381.0,124.61977011494253,Resort Hotel
2015-07-22,366.0,121.75467455621302,Resort Hotel
2015-07-23,347.0,123.3790625,Resort Hotel
2015-07-24,371.0,127.48526315789474,Resort Hotel
2015-07-25,396.0,130.54740331491712,Resort Hotel
2015-07-26,422.0,134.6431282051282,Resort Hotel
2015-07-27,419.0,139.50905759162305,Resort Hotel
2015-07-28,388.0,137.88115606936415,Resort Hotel
2015-07-29,394.0,135.60959537572253,Resort Hotel
2015-07-30,413.0,139.06650000000002,Resort Hotel
2015-07-31,425.0,138.48036842105265,Resort Hotel
2015-08-01,446.0,140.1010606060606,Resort Hotel
2015-08-02,470.0,141.86545454545455,Resort Hotel
2015-08-03,476.0,140.9063981042654,Resort Hotel
2015-08-04,430.0,140.38431578947367,Resort Hotel
2015-08-05,395.0,140.8552840909091,Resort Hotel
2015-08-06,349.0,140.9210322580645,Resort Hotel
2015-08-07,327.0,141.1755172413793,Resort Hotel
2015-08-08,326.0,143.77527777777777,Resort Hotel
2015-08-09,370.0,153.64463414634147,Resort Hotel
2015-08-10,413.0,152.6214054054054,Resort Hotel
2015-08-11,389.0,150.10310734463278,Resort Hotel
2015-08-12,376.0,152.15976744186045,Resort Hotel
2015-08-13,356.0,156.48745454545454,Resort Hotel
2015-08-14,374.0,155.75589595375723,Resort Hotel
2015-08-15,409.0,156.26751351351353,Resort Hotel
2015-08-16,437.0,156.78154639175258,Resort Hotel
2015-08-17,431.0,162.07103092783504,Resort Hotel
2015-08-18,412.0,160.95241573033707,Resort Hotel
2015-08-19,392.0,159.67208333333332,Resort Hotel
2015-08-20,397.0,158.44426900584796,Resort Hotel
2015-08-21,377.0,158.33623456790124,Resort Hotel
2015-08-22,394.0,156.4440350877193,Resort Hotel
2015-08-23,407.0,156.36303370786516,Resort Hotel
2015-08-24,400.0,156.6013142857143,Resort Hotel
2015-08-25,387.0,159.59403614457833,Resort Hotel
2015-08-26,385.0,158.37133333333333,Resort Hotel
2015-08-27,377.0,157.21675,Resort Hotel
2015-08-28,385.0,159.28265432098766,Resort Hotel
2015-08-29,438.0,162.63906077348065,Resort Hotel
2015-08-30,492.0,162.56373786407767,Resort Hotel
2015-08-31,476.0,157.66752475247526,Resort Hotel
2015-09-01,451.0,155.01795918367347,Resort Hotel
